school,size,sector,pracad,disclim,himinty,meanses,pupil,minority,sex,ses,mathach
s1224,842,Public,0.35,1.597,0,-0.428,p28,No,Female,-0.568,6.399
s1224,842,Public,0.35,1.597,0,-0.428,p29,No,Female,-0.258,6.821
s1224,842,Public,0.35,1.597,0,-0.428,p30,No,Female,-0.138,9.255
s1224,842,Public,0.35,1.597,0,-0.428,p31,No,Female,-0.478,3.745
s1224,842,Public,0.35,1.597,0,-0.428,p32,No,Female,-0.948,0.858
s1224,842,Public,0.35,1.597,0,-0.428,p33,No,Female,0.282,11.542
s1224,842,Public,0.35,1.597,0,-0.428,p34,No,Female,-0.118,13.255
s1224,842,Public,0.35,1.597,0,-0.428,p35,No,Male,-0.878,10.557
s1224,842,Public,0.35,1.597,0,-0.428,p36,No,Male,-0.938,0.868
s1224,842,Public,0.35,1.597,0,-0.428,p37,No,Male,-0.548,8.296
s1224,842,Public,0.35,1.597,0,-0.428,p38,Yes,Male,0.142,-1.688
s1224,842,Public,0.35,1.597,0,-0.428,p39,No,Female,0.972,2.059
s1224,842,Public,0.35,1.597,0,-0.428,p40,No,Male,0.372,6.714
s1224,842,Public,0.35,1.597,0,-0.428,p41,Yes,Male,-1.658,0.122
s1224,842,Public,0.35,1.597,0,-0.428,p42,No,Female,-1.068,2.381
s1224,842,Public,0.35,1.597,0,-0.428,p43,No,Female,-0.248,16.336
s1224,842,Public,0.35,1.597,0,-0.428,p44,No,Female,-1.398,6.134
s1224,842,Public,0.35,1.597,0,-0.428,p45,No,Female,0.752,23.584
s1224,842,Public,0.35,1.597,0,-0.428,p46,No,Female,0.012,14.053
s1224,842,Public,0.35,1.597,0,-0.428,p47,No,Female,-0.418,2.183
s1288,1855,Public,0.27,0.174,0,0.128,p48,No,Female,-0.788,7.857
s1288,1855,Public,0.27,0.174,0,0.128,p49,Yes,Male,-0.328,10.171
s1288,1855,Public,0.27,0.174,0,0.128,p50,No,Male,0.472,15.699
s1288,1855,Public,0.27,0.174,0,0.128,p51,No,Female,0.352,22.919
s1288,1855,Public,0.27,0.174,0,0.128,p52,Yes,Female,-1.468,10.664
s1288,1855,Public,0.27,0.174,0,0.128,p53,No,Female,0.202,13.543
s1288,1855,Public,0.27,0.174,0,0.128,p54,No,Male,-0.518,18.207
s1288,1855,Public,0.27,0.174,0,0.128,p55,Yes,Male,-0.158,5.552
s1288,1855,Public,0.27,0.174,0,0.128,p56,No,Male,0.042,7.416
s1288,1855,Public,0.27,0.174,0,0.128,p57,No,Male,0.682,18.792
s1288,1855,Public,0.27,0.174,0,0.128,p58,No,Male,1.262,1.575
s1288,1855,Public,0.27,0.174,0,0.128,p59,No,Female,0.152,3.534
s1288,1855,Public,0.27,0.174,0,0.128,p60,No,Female,-0.678,20.173
s1288,1855,Public,0.27,0.174,0,0.128,p61,No,Female,0.332,10.772
s1288,1855,Public,0.27,0.174,0,0.128,p62,No,Female,-0.728,2.619
s1288,1855,Public,0.27,0.174,0,0.128,p63,No,Female,1.262,21.3
s1288,1855,Public,0.27,0.174,0,0.128,p64,No,Male,0.612,19.527
s1288,1855,Public,0.27,0.174,0,0.128,p65,No,Female,0.692,18.402
s1288,1855,Public,0.27,0.174,0,0.128,p66,No,Female,1.082,20.69
s1288,1855,Public,0.27,0.174,0,0.128,p67,No,Male,0.222,21.437
s1288,1855,Public,0.27,0.174,0,0.128,p68,No,Male,0.032,7.519
s1288,1855,Public,0.27,0.174,0,0.128,p69,No,Male,-0.118,18.397
s1288,1855,Public,0.27,0.174,0,0.128,p70,No,Male,-0.488,4.617
s1288,1855,Public,0.27,0.174,0,0.128,p71,No,Male,0.322,23.578
s1288,1855,Public,0.27,0.174,0,0.128,p72,No,Male,0.592,12.81
s1296,1719,Public,0.32,-0.137,1,-0.42,p73,Yes,Female,-0.148,12.668
s1296,1719,Public,0.32,-0.137,1,-0.42,p74,Yes,Male,-0.858,0.781
s1296,1719,Public,0.32,-0.137,1,-0.42,p75,Yes,Female,-1.568,4.968
s1296,1719,Public,0.32,-0.137,1,-0.42,p76,Yes,Male,-0.898,23.172
s1296,1719,Public,0.32,-0.137,1,-0.42,p77,Yes,Female,-0.288,8.278
s1296,1719,Public,0.32,-0.137,1,-0.42,p78,Yes,Female,-1.088,6.244
s1296,1719,Public,0.32,-0.137,1,-0.42,p79,Yes,Female,-1.388,1.326
s1296,1719,Public,0.32,-0.137,1,-0.42,p80,Yes,Male,-1.148,2.359
s1296,1719,Public,0.32,-0.137,1,-0.42,p81,Yes,Female,-0.558,6.757
s1296,1719,Public,0.32,-0.137,1,-0.42,p82,Yes,Female,-0.698,6.251
s1296,1719,Public,0.32,-0.137,1,-0.42,p83,Yes,Female,0.142,3.404
s1296,1719,Public,0.32,-0.137,1,-0.42,p84,Yes,Male,0.522,22.201
s1296,1719,Public,0.32,-0.137,1,-0.42,p85,Yes,Male,0.732,-1.353
s1296,1719,Public,0.32,-0.137,1,-0.42,p86,Yes,Female,-0.248,-0.014
s1296,1719,Public,0.32,-0.137,1,-0.42,p87,Yes,Female,0.322,5.216
s1296,1719,Public,0.32,-0.137,1,-0.42,p88,Yes,Female,0.052,3.587
s1296,1719,Public,0.32,-0.137,1,-0.42,p89,Yes,Female,-0.028,11.162
s1296,1719,Public,0.32,-0.137,1,-0.42,p90,Yes,Female,-0.898,5.982
s1296,1719,Public,0.32,-0.137,1,-0.42,p91,Yes,Male,-0.818,2.814
s1296,1719,Public,0.32,-0.137,1,-0.42,p92,Yes,Female,-1.408,7.272
s1296,1719,Public,0.32,-0.137,1,-0.42,p93,Yes,Male,-1.258,8.895
s1296,1719,Public,0.32,-0.137,1,-0.42,p94,Yes,Male,-0.608,8.773
s1296,1719,Public,0.32,-0.137,1,-0.42,p95,Yes,Female,1.242,12.176
s1296,1719,Public,0.32,-0.137,1,-0.42,p96,No,Male,-0.688,3.052
s1296,1719,Public,0.32,-0.137,1,-0.42,p97,Yes,Female,-0.828,6.834
s1296,1719,Public,0.32,-0.137,1,-0.42,p98,Yes,Female,-0.698,3.255
s1296,1719,Public,0.32,-0.137,1,-0.42,p99,Yes,Female,-0.498,6.355
s1296,1719,Public,0.32,-0.137,1,-0.42,p100,Yes,Male,-0.658,11.589
s1296,1719,Public,0.32,-0.137,1,-0.42,p101,Yes,Female,-0.778,8.08
s1296,1719,Public,0.32,-0.137,1,-0.42,p102,Yes,Female,-0.098,19.822
s1296,1719,Public,0.32,-0.137,1,-0.42,p103,Yes,Female,-1.028,14.239
s1296,1719,Public,0.32,-0.137,1,-0.42,p104,Yes,Female,-0.418,1.17
s1296,1719,Public,0.32,-0.137,1,-0.42,p105,Yes,Female,-0.408,-1.127
s1296,1719,Public,0.32,-0.137,1,-0.42,p106,Yes,Male,0.352,10.84
s1296,1719,Public,0.32,-0.137,1,-0.42,p107,Yes,Female,-1.628,6.778
s1296,1719,Public,0.32,-0.137,1,-0.42,p108,Yes,Female,-0.698,9.449
s1296,1719,Public,0.32,-0.137,1,-0.42,p109,Yes,Male,-0.168,5.995
s1296,1719,Public,0.32,-0.137,1,-0.42,p110,Yes,Female,-0.718,4.765
s1296,1719,Public,0.32,-0.137,1,-0.42,p111,Yes,Female,-1.008,14.399
s1296,1719,Public,0.32,-0.137,1,-0.42,p112,Yes,Male,-0.178,6.588
s1296,1719,Public,0.32,-0.137,1,-0.42,p113,Yes,Male,0.392,11.026
s1296,1719,Public,0.32,-0.137,1,-0.42,p114,Yes,Female,-0.358,7.095
s1296,1719,Public,0.32,-0.137,1,-0.42,p115,Yes,Male,-0.628,12.721
s1296,1719,Public,0.32,-0.137,1,-0.42,p116,Yes,Male,-0.038,5.52
s1296,1719,Public,0.32,-0.137,1,-0.42,p117,Yes,Female,0.972,7.353
s1296,1719,Public,0.32,-0.137,1,-0.42,p118,Yes,Female,0.252,7.095
s1296,1719,Public,0.32,-0.137,1,-0.42,p119,Yes,Female,0.332,9.999
s1296,1719,Public,0.32,-0.137,1,-0.42,p120,Yes,Male,-0.308,10.715
s1308,716,Catholic,0.96,-0.622,0,0.534,p121,No,Male,0.422,13.233
s1308,716,Catholic,0.96,-0.622,0,0.534,p122,No,Male,0.562,13.952
s1308,716,Catholic,0.96,-0.622,0,0.534,p123,Yes,Male,-0.058,13.757
s1308,716,Catholic,0.96,-0.622,0,0.534,p124,No,Male,0.952,13.97
s1308,716,Catholic,0.96,-0.622,0,0.534,p125,No,Male,0.622,23.434
s1308,716,Catholic,0.96,-0.622,0,0.534,p126,No,Male,0.832,9.162
s1308,716,Catholic,0.96,-0.622,0,0.534,p127,No,Male,1.512,23.818
s1308,716,Catholic,0.96,-0.622,0,0.534,p128,No,Male,0.622,15.998
s1308,716,Catholic,0.96,-0.622,0,0.534,p129,Yes,Male,0.332,16.039
s1308,716,Catholic,0.96,-0.622,0,0.534,p130,No,Male,0.442,24.993
s1308,716,Catholic,0.96,-0.622,0,0.534,p131,Yes,Male,0.582,15.657
s1308,716,Catholic,0.96,-0.622,0,0.534,p132,No,Male,1.102,16.258
s1308,716,Catholic,0.96,-0.622,0,0.534,p133,No,Male,0.892,10.546
s1308,716,Catholic,0.96,-0.622,0,0.534,p134,Yes,Male,0.802,17.615
s1308,716,Catholic,0.96,-0.622,0,0.534,p135,Yes,Male,-0.568,21.116
s1308,716,Catholic,0.96,-0.622,0,0.534,p136,Yes,Male,0.522,6.493
s1308,716,Catholic,0.96,-0.622,0,0.534,p137,Yes,Male,0.102,2.512
s1308,716,Catholic,0.96,-0.622,0,0.534,p138,Yes,Male,-0.348,22.393
s1308,716,Catholic,0.96,-0.622,0,0.534,p139,No,Male,0.552,21.488
s1308,716,Catholic,0.96,-0.622,0,0.534,p140,No,Male,0.682,22.676
s1317,455,Catholic,0.95,-1.694,1,0.351,p141,No,Female,0.882,12.862
s1317,455,Catholic,0.95,-1.694,1,0.351,p142,Yes,Female,0.932,8.961
s1317,455,Catholic,0.95,-1.694,1,0.351,p143,Yes,Female,-0.158,4.756
s1317,455,Catholic,0.95,-1.694,1,0.351,p144,Yes,Female,0.362,21.405
s1317,455,Catholic,0.95,-1.694,1,0.351,p145,No,Female,1.372,20.748
s1317,455,Catholic,0.95,-1.694,1,0.351,p146,Yes,Female,0.132,18.362
s1317,455,Catholic,0.95,-1.694,1,0.351,p147,No,Female,0.132,14.752
s1317,455,Catholic,0.95,-1.694,1,0.351,p148,Yes,Female,-0.008,11.29
s1317,455,Catholic,0.95,-1.694,1,0.351,p149,Yes,Female,-0.108,10.493
s1317,455,Catholic,0.95,-1.694,1,0.351,p150,Yes,Female,0.612,10.956
s1317,455,Catholic,0.95,-1.694,1,0.351,p151,Yes,Female,0.482,21.405
s1317,455,Catholic,0.95,-1.694,1,0.351,p152,No,Female,0.502,23.355
s1317,455,Catholic,0.95,-1.694,1,0.351,p153,Yes,Female,0.482,12.283
s1317,455,Catholic,0.95,-1.694,1,0.351,p154,Yes,Female,0.472,9.257
s1317,455,Catholic,0.95,-1.694,1,0.351,p155,No,Female,-0.578,11.502
s1317,455,Catholic,0.95,-1.694,1,0.351,p156,Yes,Female,1.152,20.039
s1317,455,Catholic,0.95,-1.694,1,0.351,p157,Yes,Female,-0.288,21.405
s1317,455,Catholic,0.95,-1.694,1,0.351,p158,Yes,Female,0.942,23.736
s1317,455,Catholic,0.95,-1.694,1,0.351,p159,Yes,Female,0.722,11.027
s1317,455,Catholic,0.95,-1.694,1,0.351,p160,Yes,Female,-0.108,17.203
s1317,455,Catholic,0.95,-1.694,1,0.351,p161,Yes,Female,1.462,10.661
s1317,455,Catholic,0.95,-1.694,1,0.351,p162,Yes,Female,-0.028,7.031
s1317,455,Catholic,0.95,-1.694,1,0.351,p163,No,Female,0.702,13.677
s1317,455,Catholic,0.95,-1.694,1,0.351,p164,Yes,Female,0.082,13.373
s1317,455,Catholic,0.95,-1.694,1,0.351,p165,Yes,Female,-0.108,10.121
s1317,455,Catholic,0.95,-1.694,1,0.351,p166,Yes,Female,0.322,10.394
s1317,455,Catholic,0.95,-1.694,1,0.351,p167,Yes,Female,0.302,6.973
s1317,455,Catholic,0.95,-1.694,1,0.351,p168,No,Female,-0.098,11.064
s1317,455,Catholic,0.95,-1.694,1,0.351,p169,Yes,Female,-0.848,11.531
s1317,455,Catholic,0.95,-1.694,1,0.351,p170,Yes,Female,-1.248,8.253
s1317,455,Catholic,0.95,-1.694,1,0.351,p171,Yes,Female,0.122,7.142
s1317,455,Catholic,0.95,-1.694,1,0.351,p172,Yes,Female,0.272,3.22
s1317,455,Catholic,0.95,-1.694,1,0.351,p173,No,Female,0.582,15.784
s1317,455,Catholic,0.95,-1.694,1,0.351,p174,Yes,Female,0.642,17.246
s1317,455,Catholic,0.95,-1.694,1,0.351,p175,Yes,Female,0.952,9.337
s1317,455,Catholic,0.95,-1.694,1,0.351,p176,Yes,Female,-0.258,15.555
s1317,455,Catholic,0.95,-1.694,1,0.351,p177,Yes,Female,0.492,8.382
s1317,455,Catholic,0.95,-1.694,1,0.351,p178,No,Female,0.992,11.621
s1317,455,Catholic,0.95,-1.694,1,0.351,p179,Yes,Female,0.832,4.81
s1317,455,Catholic,0.95,-1.694,1,0.351,p180,Yes,Female,-0.068,17.869
s1317,455,Catholic,0.95,-1.694,1,0.351,p181,Yes,Female,-0.088,8.057
s1317,455,Catholic,0.95,-1.694,1,0.351,p182,Yes,Female,0.972,11.794
s1317,455,Catholic,0.95,-1.694,1,0.351,p183,No,Female,0.542,18.939
s1317,455,Catholic,0.95,-1.694,1,0.351,p184,Yes,Female,0.132,20.261
s1317,455,Catholic,0.95,-1.694,1,0.351,p185,Yes,Female,-0.008,10.066
s1317,455,Catholic,0.95,-1.694,1,0.351,p186,No,Female,0.812,20.236
s1317,455,Catholic,0.95,-1.694,1,0.351,p187,No,Female,1.122,4.508
s1317,455,Catholic,0.95,-1.694,1,0.351,p188,No,Female,0.062,18.827
s1358,1430,Public,0.25,1.535,0,-0.014,p189,Yes,Male,0.032,-1.347
s1358,1430,Public,0.25,1.535,0,-0.014,p190,No,Female,-1.088,8.054
s1358,1430,Public,0.25,1.535,0,-0.014,p191,No,Male,0.372,15.655
s1358,1430,Public,0.25,1.535,0,-0.014,p192,No,Male,-0.568,11.648
s1358,1430,Public,0.25,1.535,0,-0.014,p193,No,Male,-0.328,11.629
s1358,1430,Public,0.25,1.535,0,-0.014,p194,No,Female,-0.018,18.687
s1358,1430,Public,0.25,1.535,0,-0.014,p195,Yes,Male,-1.208,-0.827
s1358,1430,Public,0.25,1.535,0,-0.014,p196,No,Male,-0.098,7.87
s1358,1430,Public,0.25,1.535,0,-0.014,p197,No,Male,0.942,18.115
s1358,1430,Public,0.25,1.535,0,-0.014,p198,No,Female,-1.408,3.792
s1358,1430,Public,0.25,1.535,0,-0.014,p199,No,Male,0.122,11.03
s1358,1430,Public,0.25,1.535,0,-0.014,p200,No,Female,0.362,7.564
s1358,1430,Public,0.25,1.535,0,-0.014,p201,Yes,Female,-0.708,3.465
s1358,1430,Public,0.25,1.535,0,-0.014,p202,No,Male,0.252,15.038
s1358,1430,Public,0.25,1.535,0,-0.014,p203,No,Female,0.312,10.184
s1358,1430,Public,0.25,1.535,0,-0.014,p204,No,Female,-0.678,2.933
s1358,1430,Public,0.25,1.535,0,-0.014,p205,No,Male,-0.148,8.438
s1358,1430,Public,0.25,1.535,0,-0.014,p206,No,Female,-0.168,7.519
s1358,1430,Public,0.25,1.535,0,-0.014,p207,No,Male,1.092,18.735
s1358,1430,Public,0.25,1.535,0,-0.014,p208,No,Female,0.232,10.19
s1358,1430,Public,0.25,1.535,0,-0.014,p209,No,Male,0.422,16.294
s1358,1430,Public,0.25,1.535,0,-0.014,p210,No,Male,1.282,10.65
s1358,1430,Public,0.25,1.535,0,-0.014,p211,No,Male,-0.248,10.301
s1358,1430,Public,0.25,1.535,0,-0.014,p212,No,Male,0.952,17.811
s1358,1430,Public,0.25,1.535,0,-0.014,p213,No,Female,-0.038,14.646
s1358,1430,Public,0.25,1.535,0,-0.014,p214,No,Female,-0.398,17.191
s1358,1430,Public,0.25,1.535,0,-0.014,p215,No,Male,0.162,8.69
s1358,1430,Public,0.25,1.535,0,-0.014,p216,No,Male,0.682,21.142
s1358,1430,Public,0.25,1.535,0,-0.014,p217,No,Male,-0.668,16.499
s1358,1430,Public,0.25,1.535,0,-0.014,p218,No,Male,-0.038,14.591
s1374,2400,Public,0.5,2.016,0,-0.007,p219,No,Male,0.322,16.663
s1374,2400,Public,0.5,2.016,0,-0.007,p220,Yes,Female,0.212,-2.155
s1374,2400,Public,0.5,2.016,0,-0.007,p221,Yes,Female,0.682,0.085
s1374,2400,Public,0.5,2.016,0,-0.007,p222,No,Female,-0.148,18.804
s1374,2400,Public,0.5,2.016,0,-0.007,p223,Yes,Female,-0.468,2.409
s1374,2400,Public,0.5,2.016,0,-0.007,p224,No,Female,0.842,16.759
s1374,2400,Public,0.5,2.016,0,-0.007,p225,Yes,Male,0.072,18.948
s1374,2400,Public,0.5,2.016,0,-0.007,p226,No,Female,0.332,10.593
s1374,2400,Public,0.5,2.016,0,-0.007,p227,No,Male,-0.858,15.557
s1374,2400,Public,0.5,2.016,0,-0.007,p228,No,Male,0.902,23.419
s1374,2400,Public,0.5,2.016,0,-0.007,p229,Yes,Male,1.242,0.333
s1374,2400,Public,0.5,2.016,0,-0.007,p230,No,Male,-0.738,-2.002
s1374,2400,Public,0.5,2.016,0,-0.007,p231,No,Male,0.362,24.041
s1374,2400,Public,0.5,2.016,0,-0.007,p232,Yes,Male,0.712,-2.657
s1374,2400,Public,0.5,2.016,0,-0.007,p233,No,Female,0.452,7.603
s1374,2400,Public,0.5,2.016,0,-0.007,p234,Yes,Male,-0.598,5.803
s1374,2400,Public,0.5,2.016,0,-0.007,p235,Yes,Male,-1.028,3.931
s1374,2400,Public,0.5,2.016,0,-0.007,p236,No,Male,-0.338,8.268
s1374,2400,Public,0.5,2.016,0,-0.007,p237,No,Male,-0.948,1.344
s1374,2400,Public,0.5,2.016,0,-0.007,p238,Yes,Male,0.292,16.449
s1374,2400,Public,0.5,2.016,0,-0.007,p239,No,Female,-1.218,2.881
s1374,2400,Public,0.5,2.016,0,-0.007,p240,No,Female,0.492,20.93
s1374,2400,Public,0.5,2.016,0,-0.007,p241,No,Male,1.152,22.086
s1374,2400,Public,0.5,2.016,0,-0.007,p242,No,Female,-0.758,7.653
s1374,2400,Public,0.5,2.016,0,-0.007,p243,No,Female,-0.298,8.082
s1374,2400,Public,0.5,2.016,0,-0.007,p244,No,Female,-0.478,5.503
s1374,2400,Public,0.5,2.016,0,-0.007,p245,No,Female,0.192,9.004
s1374,2400,Public,0.5,2.016,0,-0.007,p246,No,Male,-0.738,12.063
s1433,899,Catholic,0.96,-0.321,0,0.718,p247,No,Male,0.812,12.907
s1433,899,Catholic,0.96,-0.321,0,0.718,p248,No,Male,1.332,18.496
s1433,899,Catholic,0.96,-0.321,0,0.718,p249,No,Male,-0.338,20.323
s1433,899,Catholic,0.96,-0.321,0,0.718,p250,No,Male,1.082,22.682
s1433,899,Catholic,0.96,-0.321,0,0.718,p251,No,Male,0.542,14.198
s1433,899,Catholic,0.96,-0.321,0,0.718,p252,No,Male,0.382,24.044
s1433,899,Catholic,0.96,-0.321,0,0.718,p253,No,Male,0.592,19.571
s1433,899,Catholic,0.96,-0.321,0,0.718,p254,No,Male,0.852,22.183
s1433,899,Catholic,0.96,-0.321,0,0.718,p255,No,Male,-0.368,16.676
s1433,899,Catholic,0.96,-0.321,0,0.718,p256,No,Male,1.022,23.327
s1433,899,Catholic,0.96,-0.321,0,0.718,p257,No,Male,0.712,16.394
s1433,899,Catholic,0.96,-0.321,0,0.718,p258,No,Male,0.272,23.032
s1433,899,Catholic,0.96,-0.321,0,0.718,p259,No,Male,1.182,18.586
s1433,899,Catholic,0.96,-0.321,0,0.718,p260,No,Male,-0.588,15.246
s1433,899,Catholic,0.96,-0.321,0,0.718,p261,No,Male,1.282,20.731
s1433,899,Catholic,0.96,-0.321,0,0.718,p262,No,Male,0.942,20.447
s1433,899,Catholic,0.96,-0.321,0,0.718,p263,No,Male,1.512,23.572
s1433,899,Catholic,0.96,-0.321,0,0.718,p264,No,Male,0.222,17.571
s1433,899,Catholic,0.96,-0.321,0,0.718,p265,No,Male,0.992,24.993
s1433,899,Catholic,0.96,-0.321,0,0.718,p266,No,Male,1.362,24.421
s1433,899,Catholic,0.96,-0.321,0,0.718,p267,No,Male,0.482,11.478
s1433,899,Catholic,0.96,-0.321,0,0.718,p268,No,Male,1.292,24.812
s1433,899,Catholic,0.96,-0.321,0,0.718,p269,No,Male,1.072,22.093
s1433,899,Catholic,0.96,-0.321,0,0.718,p270,No,Male,0.562,18.716
s1433,899,Catholic,0.96,-0.321,0,0.718,p271,No,Male,-0.218,23.392
s1433,899,Catholic,0.96,-0.321,0,0.718,p272,No,Male,1.512,15.992
s1433,899,Catholic,0.96,-0.321,0,0.718,p273,No,Male,0.772,13.254
s1433,899,Catholic,0.96,-0.321,0,0.718,p274,No,Male,0.952,24.812
s1433,899,Catholic,0.96,-0.321,0,0.718,p275,No,Male,1.392,22.086
s1433,899,Catholic,0.96,-0.321,0,0.718,p276,Yes,Male,1.002,24.479
s1433,899,Catholic,0.96,-0.321,0,0.718,p277,No,Male,0.932,16.724
s1433,899,Catholic,0.96,-0.321,0,0.718,p278,No,Male,-0.458,20.628
s1433,899,Catholic,0.96,-0.321,0,0.718,p279,No,Male,-0.198,14.544
s1433,899,Catholic,0.96,-0.321,0,0.718,p280,No,Male,0.952,19.033
s1433,899,Catholic,0.96,-0.321,0,0.718,p281,No,Male,1.072,18.727
s1436,185,Catholic,1,-1.141,0,0.569,p282,No,Male,0.222,24.133
s1436,185,Catholic,1,-1.141,0,0.569,p283,No,Male,-0.078,18.77
s1436,185,Catholic,1,-1.141,0,0.569,p284,No,Male,1.512,21.803
s1436,185,Catholic,1,-1.141,0,0.569,p285,No,Male,0.212,9.561
s1436,185,Catholic,1,-1.141,0,0.569,p286,No,Female,0.792,15.132
s1436,185,Catholic,1,-1.141,0,0.569,p287,No,Female,1.342,22.387
s1436,185,Catholic,1,-1.141,0,0.569,p288,No,Male,0.242,22.578
s1436,185,Catholic,1,-1.141,0,0.569,p289,No,Male,-0.298,18.763
s1436,185,Catholic,1,-1.141,0,0.569,p290,No,Male,-1.038,18.301
s1436,185,Catholic,1,-1.141,0,0.569,p291,No,Male,0.682,15.879
s1436,185,Catholic,1,-1.141,0,0.569,p292,No,Male,0.802,20.424
s1436,185,Catholic,1,-1.141,0,0.569,p293,No,Male,0.952,23.072
s1436,185,Catholic,1,-1.141,0,0.569,p294,No,Female,1.002,13.12
s1436,185,Catholic,1,-1.141,0,0.569,p295,No,Male,1.142,18.844
s1436,185,Catholic,1,-1.141,0,0.569,p296,No,Female,0.482,17.495
s1436,185,Catholic,1,-1.141,0,0.569,p297,No,Female,1.512,15.615
s1436,185,Catholic,1,-1.141,0,0.569,p298,No,Female,0.242,11.001
s1436,185,Catholic,1,-1.141,0,0.569,p299,No,Female,1.222,17.103
s1436,185,Catholic,1,-1.141,0,0.569,p300,No,Female,-0.298,21.56
s1436,185,Catholic,1,-1.141,0,0.569,p301,No,Male,-0.338,19.419
s1436,185,Catholic,1,-1.141,0,0.569,p302,No,Female,1.042,18.471
s1436,185,Catholic,1,-1.141,0,0.569,p303,No,Male,0.672,22.868
s1436,185,Catholic,1,-1.141,0,0.569,p304,No,Male,0.732,14.138
s1436,185,Catholic,1,-1.141,0,0.569,p305,No,Male,0.822,23.271
s1436,185,Catholic,1,-1.141,0,0.569,p306,No,Male,0.362,13.472
s1436,185,Catholic,1,-1.141,0,0.569,p307,No,Male,-0.318,17.465
s1436,185,Catholic,1,-1.141,0,0.569,p308,No,Male,0.682,16.038
s1436,185,Catholic,1,-1.141,0,0.569,p309,No,Male,0.712,22.455
s1436,185,Catholic,1,-1.141,0,0.569,p310,No,Male,0.542,18.984
s1436,185,Catholic,1,-1.141,0,0.569,p311,No,Male,0.252,12.535
s1436,185,Catholic,1,-1.141,0,0.569,p312,No,Female,0.482,16.568
s1436,185,Catholic,1,-1.141,0,0.569,p313,No,Male,-0.028,22.592
s1436,185,Catholic,1,-1.141,0,0.569,p314,No,Male,0.252,16.886
s1436,185,Catholic,1,-1.141,0,0.569,p315,No,Male,0.702,22.985
s1436,185,Catholic,1,-1.141,0,0.569,p316,No,Female,0.212,6.798
s1436,185,Catholic,1,-1.141,0,0.569,p317,No,Female,0.342,5.51
s1436,185,Catholic,1,-1.141,0,0.569,p318,No,Male,1.342,24.479
s1436,185,Catholic,1,-1.141,0,0.569,p319,No,Female,1.512,18.827
s1436,185,Catholic,1,-1.141,0,0.569,p320,No,Female,1.212,20.268
s1436,185,Catholic,1,-1.141,0,0.569,p321,No,Male,1.122,24.993
s1436,185,Catholic,1,-1.141,0,0.569,p322,No,Male,0.272,15.06
s1436,185,Catholic,1,-1.141,0,0.569,p323,No,Female,0.782,20.818
s1436,185,Catholic,1,-1.141,0,0.569,p324,No,Male,-0.018,18.33
s1436,185,Catholic,1,-1.141,0,0.569,p325,No,Male,0.772,18.14
s1461,1672,Public,0.78,2.096,0,0.683,p326,No,Female,0.042,12.962
s1461,1672,Public,0.78,2.096,0,0.683,p327,No,Female,1.282,24.545
s1461,1672,Public,0.78,2.096,0,0.683,p328,No,Female,1.122,13.314
s1461,1672,Public,0.78,2.096,0,0.683,p329,No,Female,1.172,16.929
